1	2020-10-15 22:35:16.600	22	22.0145	22
2	2020-10-15 22:35:17.602	22	22.0156	22	
3	2020-10-15 22:35:18.604	22	22.015	22	
4	2020-10-15 22:35:19.605	22	22.0169	22	
5	2020-10-15 22:35:20.606	22	22.0187	22	
6	2020-10-15 22:35:21.610	22	22.0212	22	
7	2020-10-15 22:35:22.611	22	22.0213	22	
8	2020-10-15 22:35:23.613	22	22.0234	22	
9	2020-10-15 22:35:24.614	22	22.0249	22	
10	2020-10-15 22:35:25.629	22	22.026	22	
11	2020-10-15 22:35:26.660	22	22.0262	22	
12	2020-10-15 22:35:27.664	22	22.0267	22	
13	2020-10-15 22:35:28.666	22	22.027	22	
14	2020-10-15 22:35:29.872	22	22.0284	22	
15	2020-10-15 22:35:30.670	22	22.0305	22	
16	2020-10-15 22:35:31.685	22	22.0315	22	
17	2020-10-15 22:35:32.689	22	22.0326	22	
18	2020-10-15 22:35:33.690	22	22.0338	22	
19	2020-10-15 22:35:34.690	22	22.0345	22	
20	2020-10-15 22:35:35.705	22	22.0353	22	
21	2020-10-15 22:35:36.706	22	22.0361	22	
22	2020-10-15 22:35:37.721	22	22.0364	22	
23	2020-10-15 22:35:38.736	22	22.0368	22	
24	2020-10-15 22:35:39.738	22	22.038	22	
25	2020-10-15 22:35:40.740	22	22.0384	22	
26	2020-10-15 22:35:41.743	22	22.04	22	
27	2020-10-15 22:35:42.748	22	22.0403	22	
28	2020-10-15 22:35:43.762	22	22.042	22	
29	2020-10-15 22:35:44.763	22	22.0429	22	
30	2020-10-15 22:35:45.767	22	22.0442	22	
31	2020-10-15 22:35:46.768	22	22.0435	22	
32	2020-10-15 22:35:47.771	22	22.0439	22	
33	2020-10-15 22:35:48.773	22	22.0444	22	
34	2020-10-15 22:35:49.776	22	22.0448	22	
35	2020-10-15 22:35:50.780	22	22.044	22	
36	2020-10-15 22:35:51.781	22	22.0429	22	
37	2020-10-15 22:35:52.785	22	22.0428	22	
38	2020-10-15 22:35:53.788	22	22.0418	22	
39	2020-10-15 22:35:54.789	22	22.0409	22	
40	2020-10-15 22:35:55.793	22	22.0403	22	
41	2020-10-15 22:35:56.793	22	22.0381	22	
42	2020-10-15 22:35:57.808	22	22.0376	22	
43	2020-10-15 22:35:58.813	22	22.0368	22	
44	2020-10-15 22:35:59.815	22	22.0363	22	
45	2020-10-15 22:36:00.817	22	22.0359	22	
46	2020-10-15 22:36:01.819	22	22.036	22	
47	2020-10-15 22:36:02.819	22	22.0356	22	
48	2020-10-15 22:36:03.820	22	22.0347	22	
49	2020-10-15 22:36:04.822	22	22.0342	22	
50	2020-10-15 22:36:05.823	22	22.0328	22	
51	2020-10-15 22:36:06.825	22	22.0325	22	
52	2020-10-15 22:36:07.827	22	22.0315	22	
53	2020-10-15 22:36:08.841	22	22.0304	22	
54	2020-10-15 22:36:09.856	22	22.0297	22	
55	2020-10-15 22:36:10.859	22	22.0286	22	
56	2020-10-15 22:36:11.862	22	22.0274	22	
57	2020-10-15 22:36:12.863	22	22.0269	22	
58	2020-10-15 22:36:13.863	22	22.0261	22	
59	2020-10-15 22:36:14.865	22	22.025	22	
60	2020-10-15 22:36:15.879	22	22.025	22	
61	2020-10-15 22:36:16.882	22	22.0245	22	
62	2020-10-15 22:36:17.885	22	22.0242	22	
63	2020-10-15 22:36:18.884	22	22.0235	22	
64	2020-10-15 22:36:19.886	22	22.0216	22	
65	2020-10-15 22:36:20.891	22	22.0205	22	
66	2020-10-15 22:36:21.892	22	22.019	22	
67	2020-10-15 22:36:22.895	22	22.0182	22	
68	2020-10-15 22:36:23.911	22	22.0172	22	
69	2020-10-15 22:36:24.913	22	22.0154	22	
70	2020-10-15 22:36:25.915	22	22.0132	22	
71	2020-10-15 22:36:26.919	22	22.0118	22	
72	2020-10-15 22:36:27.919	22	22.0106	22	
73	2020-10-15 22:36:28.936	22	22.008	22	
74	2020-10-15 22:36:29.937	22	22.0062	22	
75	2020-10-15 22:36:30.939	22	22.0054	22	
76	2020-10-15 22:36:31.954	22	22.0043	22	
77	2020-10-15 22:36:32.957	22	22.003	22	
78	2020-10-15 22:36:33.961	22	22.0007	22	
79	2020-10-15 22:36:34.962	22	21.9986	22	
80	2020-10-15 22:36:35.963	22	21.997	22	
81	2020-10-15 22:36:36.979	22	21.9978	22	
82	2020-10-15 22:36:37.992	22	21.9989	22	
83	2020-10-15 22:36:39.007	22	21.9989	22	
84	2020-10-15 22:36:40.012	22	21.997	22	
85	2020-10-15 22:36:41.026	22	21.9964	22	
86	2020-10-15 22:36:42.029	22	21.9953	22	
87	2020-10-15 22:36:43.030	22	21.9963	22	
88	2020-10-15 22:36:44.033	22	21.9954	22	
89	2020-10-15 22:36:45.036	22	21.9926	22	
90	2020-10-15 22:36:46.039	22	21.9894	22	
91	2020-10-15 22:36:47.043	22	21.9886	22	
92	2020-10-15 22:36:48.046	22	21.9878	22	
93	2020-10-15 22:36:49.048	22	21.9894	22	
94	2020-10-15 22:36:50.051	22	21.9907	22	
95	2020-10-15 22:36:51.052	22	21.9894	22	
96	2020-10-15 22:36:52.053	22	21.9904	22	
97	2020-10-15 22:36:53.055	22	21.9897	22	
98	2020-10-15 22:36:54.056	22	21.9898	22	
99	2020-10-15 22:36:55.057	22	21.9913	22	
100	2020-10-15 22:36:56.073	22	21.9912	22	
101	2020-10-15 22:36:57.074	22	21.9927	22	
102	2020-10-15 22:36:58.079	22	21.993	22	
103	2020-10-15 22:36:59.083	22	21.9937	22	
104	2020-10-15 22:37:00.083	22	21.9957	22	
105	2020-10-15 22:37:01.098	22	21.9947	22	
106	2020-10-15 22:37:02.100	22	21.9941	22	
107	2020-10-15 22:37:03.115	22	21.9952	22	
108	2020-10-15 22:37:04.130	22	21.9953	22	
109	2020-10-15 22:37:05.132	22	21.9957	22	
110	2020-10-15 22:37:06.135	22	21.9965	22	
111	2020-10-15 22:37:07.138	22	21.9954	22	
112	2020-10-15 22:37:08.139	22	21.9941	22	
113	2020-10-15 22:37:09.154	22	21.9942	22	
114	2020-10-15 22:37:10.155	22	21.9957	22	
115	2020-10-15 22:37:11.155	22	21.9974	22	
116	2020-10-15 22:37:12.157	22	21.998	22	
117	2020-10-15 22:37:13.159	22	21.9988	22	
118	2020-10-15 22:37:14.160	22	21.9995	22	
119	2020-10-15 22:37:15.161	22	22	22	
120	2020-10-15 22:37:16.162	22	22.0001	22	
121	2020-10-15 22:37:17.164	22	22.0001	22	
122	2020-10-15 22:37:18.167	22	22.0014	22	
123	2020-10-15 22:37:19.170	22	22.0008	22	
124	2020-10-15 22:37:20.187	22	22.0006	22	
125	2020-10-15 22:37:21.202	22	22.0003	22	
126	2020-10-15 22:37:22.217	22	21.9997	22	
127	2020-10-15 22:37:23.217	22	22.0006	22	
128	2020-10-15 22:37:24.232	22	22.0014	22	
129	2020-10-15 22:37:25.236	22	22.0015	22	
130	2020-10-15 22:37:26.239	22	22.002	22	
131	2020-10-15 22:37:27.243	22	22.0023	22	
132	2020-10-15 22:37:28.246	22	22.0025	22	
133	2020-10-15 22:37:29.249	22	22.0023	22	
134	2020-10-15 22:37:30.264	22	22.0019	22	
135	2020-10-15 22:37:31.265	22	22.0017	22	
136	2020-10-15 22:37:32.270	22	22.0016	22	
137	2020-10-15 22:37:33.272	22	22.0019	22	
138	2020-10-15 22:37:34.275	22	22.0009	22	
139	2020-10-15 22:37:35.279	22	22.0012	22	
140	2020-10-15 22:37:36.279	22	22	22	
141	2020-10-15 22:37:37.294	22	22.0015	22	
142	2020-10-15 22:37:38.297	22	22.0024	22	
143	2020-10-15 22:37:39.298	22	22.0024	22	
144	2020-10-15 22:37:40.299	22	22.0027	22	
145	2020-10-15 22:37:41.303	22	22.0035	22	
146	2020-10-15 22:37:42.304	22	22.0028	22	
